plane	wire	sx	sy	sz	ex	ey	ez
0	76	-6.34706e-14	90.694	0.206489	-5.78145e-14	117.36	46.3935	
0	77	-6.34706e-14	90.3476	0.206489	-5.7741e-14	117.36	46.9935	
0	78	-6.34706e-14	90.0012	0.206489	-5.76675e-14	117.36	47.5935	
0	79	-6.34706e-14	89.6547	0.206489	-5.7594e-14	117.36	48.1935	
0	80	-6.34706e-14	89.3083	0.206489	-5.75206e-14	117.36	48.7935	
0	81	-6.34706e-14	88.9619	0.206489	-5.74471e-14	117.36	49.3935	
0	82	-6.34706e-14	88.6155	0.206489	-5.73736e-14	117.36	49.9935	
0	83	-6.34706e-14	88.2691	0.206489	-5.73001e-14	117.36	50.5935	
0	84	-6.34706e-14	87.9227	0.206489	-5.72266e-14	117.36	51.1935	
0	85	-6.34706e-14	87.5763	0.206489	-5.71532e-14	117.36	51.7935	
0	86	-6.34706e-14	87.2299	0.206489	-5.70797e-14	117.36	52.3935	
0	87	-6.34706e-14	86.8835	0.206489	-5.70062e-14	117.36	52.9935	
0	88	-6.34706e-14	86.5371	0.206489	-5.69327e-14	117.36	53.5935	
0	89	-6.34706e-14	86.1906	0.206489	-5.68593e-14	117.36	54.1935	
0	90	-6.34706e-14	85.8442	0.206489	-5.67858e-14	117.36	54.7935	
0	91	-6.34706e-14	85.4978	0.206489	-5.67123e-14	117.36	55.3935	
0	92	-6.34706e-14	85.1514	0.206489	-5.66388e-14	117.36	55.9935	
0	93	-6.34706e-14	84.805	0.206489	-5.65654e-14	117.36	56.5935	
0	94	-6.34706e-14	84.4586	0.206489	-5.64919e-14	117.36	57.1935	
0	95	-6.34706e-14	84.1122	0.206489	-5.64184e-14	117.36	57.7935	
0	96	-6.34706e-14	83.7658	0.206489	-5.63449e-14	117.36	58.3935	
0	97	-6.34706e-14	83.4194	0.206489	-5.62715e-14	117.36	58.9935	
0	98	-6.34706e-14	83.073	0.206489	-5.6198e-14	117.36	59.5935	
0	99	-6.34706e-14	82.7265	0.206489	-5.61245e-14	117.36	60.1935	
0	100	-6.34706e-14	82.3801	0.206489	-5.6051e-14	117.36	60.7935	
0	101	-6.34706e-14	82.0337	0.206489	-5.59776e-14	117.36	61.3935	
0	102	-6.34706e-14	81.6873	0.206489	-5.59041e-14	117.36	61.9935	
0	103	-6.34706e-14	81.3409	0.206489	-5.58306e-14	117.36	62.5935	
0	104	-6.34706e-14	80.9945	0.206489	-5.57571e-14	117.36	63.1935	
0	105	-6.34706e-14	80.6481	0.206489	-5.56836e-14	117.36	63.7935	
0	106	-6.34706e-14	80.3017	0.206489	-5.56102e-14	117.36	64.3935	
0	107	-6.34706e-14	79.9553	0.206489	-5.55367e-14	117.36	64.9935	
0	108	-6.34706e-14	79.6089	0.206489	-5.54632e-14	117.36	65.5935	
0	109	-6.34706e-14	79.2624	0.206489	-5.53897e-14	117.36	66.1935	
0	110	-6.34706e-14	78.916	0.206489	-5.53163e-14	117.36	66.7935	
0	111	-6.34706e-14	78.5696	0.206489	-5.52428e-14	117.36	67.3935	
0	112	-6.34706e-14	78.2232	0.206489	-5.51693e-14	117.36	67.9935	
0	113	-6.34706e-14	77.8768	0.206489	-5.50958e-14	117.36	68.5935	
0	114	-6.34706e-14	77.5304	0.206489	-5.50224e-14	117.36	69.1935	
0	115	-6.34706e-14	77.184	0.206489	-5.49489e-14	117.36	69.7935	
0	116	-6.34706e-14	76.8376	0.206489	-5.48754e-14	117.36	70.3935	
0	117	-6.34706e-14	76.4912	0.206489	-5.48019e-14	117.36	70.9935	
0	118	-6.34706e-14	76.1448	0.206489	-5.47285e-14	117.36	71.5935	
0	119	-6.34706e-14	75.7983	0.206489	-5.4655e-14	117.36	72.1935	
0	120	-6.34706e-14	75.4519	0.206489	-5.45815e-14	117.36	72.7935	
0	121	-6.34706e-14	75.1055	0.206489	-5.4508e-14	117.36	73.3935	
0	122	-6.34706e-14	74.7591	0.206489	-5.44345e-14	117.36	73.9935	
0	123	-6.34706e-14	74.4127	0.206489	-5.43611e-14	117.36	74.5935	
0	124	-6.34706e-14	74.0663	0.206489	-5.42876e-14	117.36	75.1935	
0	125	-6.34706e-14	73.7199	0.206489	-5.42141e-14	117.36	75.7935	
0	126	-6.34706e-14	73.3735	0.206489	-5.41406e-14	117.36	76.3935	
0	127	-6.34706e-14	73.0271	0.206489	-5.40672e-14	117.36	76.9935	
0	128	-6.34706e-14	72.6807	0.206489	-5.39937e-14	117.36	77.5935	
0	129	-6.34706e-14	72.3342	0.206489	-5.39202e-14	117.36	78.1935	
0	130	-6.34706e-14	71.9878	0.206489	-5.38467e-14	117.36	78.7935	
0	131	-6.34706e-14	71.6414	0.206489	-5.37733e-14	117.36	79.3935	
0	132	-6.34706e-14	71.295	0.206489	-5.36998e-14	117.36	79.9935	
0	133	-6.34706e-14	70.9486	0.206489	-5.36263e-14	117.36	80.5935	
0	134	-6.34706e-14	70.6022	0.206489	-5.35528e-14	117.36	81.1935	
0	135	-6.34706e-14	70.2558	0.206489	-5.34794e-14	117.36	81.7935	
0	136	-6.34706e-14	69.9094	0.206489	-5.34059e-14	117.36	82.3935	
0	137	-6.34706e-14	69.563	0.206489	-5.33324e-14	117.36	82.9935	
0	138	-6.34706e-14	69.2165	0.206489	-5.32589e-14	117.36	83.5935	
0	139	-6.34706e-14	68.8701	0.206489	-5.31854e-14	117.36	84.1935	
0	140	-6.34706e-14	68.5237	0.206489	-5.3112e-14	117.36	84.7935	
0	141	-6.34706e-14	68.1773	0.206489	-5.30385e-14	117.36	85.3935	
0	142	-6.34706e-14	67.8309	0.206489	-5.2965e-14	117.36	85.9935	
0	143	-6.34706e-14	67.4845	0.206489	-5.28915e-14	117.36	86.5935	
0	144	-6.34706e-14	67.1381	0.206489	-5.28181e-14	117.36	87.1935	
0	145	-6.34706e-14	66.7917	0.206489	-5.27446e-14	117.36	87.7935	
0	146	-6.34706e-14	66.4453	0.206489	-5.26711e-14	117.36	88.3935	
0	147	-6.34706e-14	66.0989	0.206489	-5.25976e-14	117.36	88.9935	
0	148	-6.34706e-14	65.7524	0.206489	-5.25242e-14	117.36	89.5935	
0	149	-6.34706e-14	65.406	0.206489	-5.24507e-14	117.36	90.1935	
0	150	-6.34706e-14	65.0596	0.206489	-5.23772e-14	117.36	90.7935	
0	151	-6.34706e-14	64.7132	0.206489	-5.23037e-14	117.36	91.3935	
0	152	-6.34706e-14	64.3668	0.206489	-5.22303e-14	117.36	91.9935	
0	153	-6.34706e-14	64.0204	0.206489	-5.21568e-14	117.36	92.5935	
0	154	-6.34706e-14	63.674	0.206489	-5.20833e-14	117.36	93.1935	
0	155	-6.34706e-14	63.3276	0.206489	-5.20098e-14	117.36	93.7935	
0	156	-6.34706e-14	62.9812	0.206489	-5.19364e-14	117.36	94.3935	
0	157	-6.34706e-14	62.6348	0.206489	-5.18629e-14	117.36	94.9935	
0	158	-6.34706e-14	62.2883	0.206489	-5.17894e-14	117.36	95.5935	
0	159	-6.34706e-14	61.9419	0.206489	-5.17159e-14	117.36	96.1935	
0	160	-6.34706e-14	61.5955	0.206489	-5.16424e-14	117.36	96.7935	
0	161	-6.34706e-14	61.2491	0.206489	-5.1569e-14	117.36	97.3935	
0	162	-6.34706e-14	60.9027	0.206489	-5.14955e-14	117.36	97.9935	
0	163	-6.34706e-14	60.5563	0.206489	-5.1422e-14	117.36	98.5935	
0	164	-6.34706e-14	60.2099	0.206489	-5.13485e-14	117.36	99.1935	
0	165	-6.34706e-14	59.8635	0.206489	-5.12751e-14	117.36	99.7935	
